query,extension,sink_file,sink_line
"Path traversal","dl_yag","/dl_yag/Classes/Domain/FileSystem/FileManager.php","46"
"Path traversal","dl_yag","/dl_yag/Classes/Domain/Import/AbstractImporter.php","345"
"Path traversal","dl_yag","/dl_yag/Classes/Domain/Import/AbstractImporter.php","484"
"Path traversal","dl_yag","/dl_yag/Classes/Domain/Import/MetaData/XmpParser.php","45"
"Path traversal","dl_yag","/dl_yag/Classes/Domain/Repository/ResolutionFileCacheRepository.php","179"
"Path traversal","dl_yag","/dl_yag/Classes/Fal/Driver/YagDriver.php","272"
"Path traversal","dla_dla_opac_ng","/dla_dla_opac_ng/Classes/Ajax/Decisiontree.php","55"
"Path traversal","dla_dla_opac_ng","/dla_dla_opac_ng/Classes/Ajax/Decisiontree.php","77"
"Reflected XSS","dl_yag","/dl_yag/Classes/Controller/AjaxController.php","503"
"Reflected XSS","dmitryd_typo3-dd-googlesitemap","/dmitryd_typo3-dd-googlesitemap/Classes/Generator/EntryPoint.php","60"
"SQL injection","dmk_mkphpids","/dmk_mkphpids/IDS/Log/Database.php","174"
"SQL injection","dmk_mkphpids","/dmk_mkphpids/mod1/index.php","226"
"Command injection","dmk_webkitpdf","/dmk_webkitpdf/Classes/Plugin.php","310"
"File inclusion","dmk_mkforms","/dmk_mkforms/Resources/Public/Captcha/cryptographp.inc.php","35"
"Server-side request forgery","dmk_mkcontentai","/dmk_mkcontentai/Classes/Http/Client/StableDiffusionClient.php","264"
"Server-side request forgery","dmk_mkcontentai","/dmk_mkcontentai/Classes/Http/Client/StableDiffusionClient.php","286"
"Server-side request forgery","dmk_t3socials","/dmk_t3socials/lib/hybridauth/Hybrid/thirdparty/OAuth/OAuth2Client.php","79"
"Path traversal","dmk_mksearch","/dmk_mksearch/Resources/Private/PHP/Elastica/Composer/guzzlehttp/guzzle/src/Cookie/FileCookieJar.php","68"
"Path traversal","dmk_mksearch","/dmk_mksearch/Resources/Private/PHP/Elastica/Composer/guzzlehttp/psr7/src/UploadedFile.php","174"
"Path traversal","dmk_mksearch","/dmk_mksearch/Resources/Private/PHP/Elastica/Composer/guzzlehttp/psr7/src/Utils.php","387"
"Path traversal","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","209"
"Path traversal","dmk_webkitpdf","/dmk_webkitpdf/Classes/Plugin.php","315"
"Path traversal","dmk_webkitpdf","/dmk_webkitpdf/Classes/Plugin.php","359"
"Path traversal","dmk_webkitpdf","/dmk_webkitpdf/Classes/Plugin.php","362"
"Path traversal","dmk_webkitpdf","/dmk_webkitpdf/Classes/Plugin.php","365"
"Reflected XSS","dmk_mksearch","/dmk_mksearch/Resources/Private/PHP/Elastica/Composer/open-telemetry/context/DebugScope.php","78"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/Hybrid/Endpoint.php","90"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","315"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","386"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","391"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","395"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","399"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","403"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","408"
"Reflected XSS","dmk_t3socials","/dmk_t3socials/lib/hybridauth/install.php","413"
"SQL injection","dreistein_d-ai","/dreistein_d-ai/Classes/Service/CagBundleService.php","149"
"SQL injection","dreistein_d-ai","/dreistein_d-ai/Classes/Service/CagBundleService.php","234"
"SQL injection","dreistein_d-ai","/dreistein_d-ai/Classes/Service/ProjectVectorStore.php","933"
"SQL injection","dreistein_d-ai","/dreistein_d-ai/Classes/Service/TokenUsageStore.php","161"
"SQL injection","dreistein_d-ai","/dreistein_d-ai/Classes/Service/TokenUsageStore.php","268"
"SQL injection","dreistein_d-ai","/dreistein_d-ai/Classes/Service/TokenUsageStore.php","391"
"SQL injection","dreistein_d-ai","/dreistein_d-ai/Classes/Service/TokenUsageStore.php","403"
"SQL injection","ecodev_tagpack","/ecodev_tagpack/class.tx_tagpack_ajaxsearch_server.php","224"
"SQL injection","ecodev_tagpack","/ecodev_tagpack/class.tx_tagpack_ajaxsearch_server.php","243"
"SQL injection","ecodev_tagpack","/ecodev_tagpack/class.tx_tagpack_ajaxsearch_server.php","262"
"SQL injection","ecodev_tagpack","/ecodev_tagpack/class.tx_tagpack_ajaxsearch_server.php","275"
"Code injection","dreistein_d-ai","/dreistein_d-ai/Classes/Api/Middleware/ApiMiddleware.php","86"
"Code injection","ecodev_newsletter","/ecodev_newsletter/Classes/Domain/Model/Newsletter.php","303"
"Server-side request forgery","dreistromland_typo3-plausibleio","/dreistromland_typo3-plausibleio/Classes/Services/PlausibleService.php","64"
"Path traversal","easydb_typo3-integration","/easydb_typo3-integration/Classes/EasydbRequest.php","63"
